X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,0.0,64.755,66.224,61.64775,62.49425,2.62175,0.001,56.46484374999999,67.50725,41.5975,63.8175
1,0.0,0.0,0.0,61.61475,62.63725,59.4255,59.2595,2.8625,0.0,56.46484374999999,67.50725,41.5975,59.94775
1,0.0,0.0,0.0,57.147,58.48825,54.88,54.95175,2.93325,0.0,56.46484374999999,67.50725,41.5975,55.606
1,0.0,0.0,0.0,52.89,53.90875,50.79375,51.0035,3.002,0.0,56.46484374999999,67.50725,41.5975,52.33025
1,0.0,0.0,0.0,48.5785,49.12275,46.558,46.68375,3.10925,0.0,56.46484374999999,67.50725,41.5975,48.16325
1,0.0,1.0,0.0,45.4665,45.5355,43.17525,43.3825,3.54625,0.0,47.75923958333333,55.987,39.7735,44.59025
1,0.0,1.0,0.0,43.824,43.79325,40.9945,41.19875,3.4145,0.0,47.75923958333333,55.987,39.7735,42.47725
1,0.0,1.0,0.0,42.85125,42.86825,39.73825,39.968,3.272,0.0,47.75923958333333,55.987,39.7735,41.14175
1,0.0,1.0,0.0,43.285,43.16425,39.31675,39.7735,3.2485,0.0,47.75923958333333,55.987,39.7735,41.07725
1,0.0,1.0,0.0,44.6335,44.8605,39.31475,40.018,3.34575,0.0,47.75923958333333,55.987,39.7735,41.42775
1,0.0,1.0,0.0,48.39525,48.65225,38.9965,40.84675,3.5715,0.0,47.75923958333333,55.987,39.7735,41.9225
1,0.0,1.0,0.0,56.89025,57.2115,39.36225,43.216,3.87475,0.0005,47.75923958333333,55.987,39.7735,43.8705
